"Time (s) Run #19","Geiger Counts (counts/sample) Run #19"
0.200,8
0.400,3
0.600,1
0.800,2
1.000,3
1.200,5
1.400,3
1.600,3
1.800,5
2.000,4
2.200,5
2.400,1
2.600,2
2.800,1
3.000,3
3.200,1
3.400,11
3.600,3
3.800,4
4.000,2
4.200,6
4.400,2
4.600,3
4.800,5
5.000,1
5.200,3
5.400,4
5.600,4
5.800,2
6.000,3
6.200,6
6.400,3
6.600,3
6.800,2
7.000,2
7.200,2
7.400,3
7.600,4
7.800,1
8.000,2
8.200,3
8.400,5
8.600,8
8.800,7
9.000,2
9.200,3
9.400,4
9.600,3
9.800,4
10.000,4
10.200,2
10.400,3
10.600,3
10.800,6
11.000,3
11.200,4
11.400,5
11.600,3
11.800,3
12.000,6
12.200,3
12.400,9
12.600,7
12.800,2
13.000,2
13.200,5
13.400,2
13.600,2
13.800,1
14.000,2
14.200,3
14.400,2
14.600,3
14.800,7
15.000,4
15.200,5
15.400,1
15.600,2
15.800,2
16.000,2
16.200,3
16.400,7
16.600,5
16.800,10
17.000,2
17.200,3
17.400,1
17.600,2
17.800,4
18.000,2
18.200,3
18.400,0
18.600,4
18.800,5
19.000,3
19.200,1
19.400,3
19.600,3
19.800,2
20.000,4
20.200,7
20.400,1
20.600,1
20.800,2
21.000,2
21.200,9
21.400,2
21.600,4
21.800,5
22.000,1
22.200,6
22.400,5
22.600,1
22.800,3
23.000,3
23.200,2
23.400,6
23.600,4
23.800,4
24.000,4
24.200,3
24.400,7
24.600,3
24.800,1
25.000,1
25.200,3
25.400,2
25.600,4
25.800,3
26.000,5
26.200,4
26.400,1
26.600,2
26.800,6
27.000,1
27.200,8
27.400,3
27.600,5
27.800,3
28.000,5
28.200,2
28.400,1
28.600,2
28.800,6
29.000,3
29.200,2
29.400,5
29.600,4
29.800,2
30.000,4
30.200,3
30.400,6
30.600,4
30.800,2
31.000,7
31.200,6
31.400,2
31.600,3
31.800,7
32.000,9
32.200,6
32.400,4
32.600,4
32.800,1
33.000,6
33.200,3
33.400,1
33.600,6
33.800,2
34.000,1
34.200,1
34.400,4
34.600,7
34.800,1
35.000,6
35.200,5
35.400,3
35.600,4
35.800,1
36.000,3
36.200,5
36.400,5
36.600,3
36.800,4
37.000,1
37.200,4
37.400,8
37.600,3
37.800,4
0.100,2
0.200,1
0.300,3
0.400,4
0.500,1
0.600,2
0.700,0
0.800,2
0.900,1
1.000,0
1.100,1
1.200,0
1.300,1
1.400,2
1.500,1
1.600,0
1.700,1
1.800,1
1.900,4
2.000,0
2.100,2
2.200,1
2.300,5
2.400,5
2.500,2
2.600,1
2.700,2
2.800,5
2.900,2
3.000,2
3.100,2
3.200,1
3.300,1
3.400,2
3.500,4
3.600,2
3.700,3
3.800,0
3.900,1
4.000,0
4.100,3
4.200,0
4.300,2
4.400,3
4.500,3
4.600,2
4.700,0
4.800,3
4.900,1
5.000,1
5.100,2
5.200,2
5.300,3
5.400,1
5.500,2
5.600,3
5.700,2
5.800,1
5.900,2
6.000,2
6.100,2
6.200,1
6.300,1
6.400,0
6.500,3
6.600,3
6.700,6
6.800,2
6.900,2
7.000,1
7.100,4
7.200,2
7.300,1
7.400,0
7.500,4
7.600,0
7.700,0
7.800,2
7.900,0
8.000,1
8.100,1
8.200,1
8.300,1
8.400,0
8.500,0
8.600,2
8.700,0
8.800,2
8.900,2
9.000,0
9.100,2
9.200,1
9.300,1
9.400,1
9.500,1
9.600,0
9.700,2
9.800,2
9.900,3
10.000,1
10.100,2
10.200,1
10.300,4
10.400,1
