"Time (s) Run #12","Geiger Counts (counts/sample) Run #12"
1.000,18
2.000,18
3.000,19
4.000,19
5.000,21
6.000,18
7.000,25
8.000,16
9.000,16
10.000,21
11.000,13
12.000,13
13.000,25
14.000,26
15.000,21
16.000,19
17.000,21
18.000,20
19.000,11
20.000,18
21.000,12
22.000,22
23.000,17
24.000,19
25.000,23
26.000,11
27.000,15
28.000,13
29.000,18
30.000,15
31.000,12
32.000,18
33.000,20
34.000,16
35.000,14
36.000,25
37.000,11
38.000,19
39.000,19
40.000,19
41.000,25
42.000,12
43.000,11
44.000,16
45.000,15
46.000,25
47.000,15
48.000,17
49.000,32
50.000,18
51.000,15
52.000,14
53.000,20
54.000,18
55.000,23
56.000,19
57.000,18
58.000,17
59.000,22
60.000,16
61.000,23
62.000,25
63.000,25
64.000,16
65.000,22
66.000,19
67.000,15
68.000,25
69.000,12
70.000,15
71.000,17
72.000,14
73.000,19
74.000,12
75.000,16
76.000,14
77.000,9
78.000,21
79.000,15
80.000,17
81.000,20
82.000,20
83.000,24
84.000,24
85.000,20
86.000,16
87.000,16
88.000,25
89.000,21
90.000,19
91.000,19
92.000,15
93.000,11
94.000,18
95.000,27
96.000,13
97.000,20
98.000,19
99.000,18
100.000,10
101.000,17
102.000,16
103.000,13
104.000,19
105.000,19
106.000,12
107.000,14
108.000,17
109.000,23
110.000,22
111.000,14
112.000,17
113.000,16
114.000,17
115.000,23
116.000,17
117.000,19
118.000,15
119.000,17
120.000,13
121.000,18
122.000,15
123.000,13
124.000,15
125.000,19
126.000,16
127.000,18
128.000,15
129.000,16
130.000,12
131.000,14
132.000,19
133.000,15
134.000,14
135.000,12
136.000,22
137.000,17
138.000,16
139.000,19
140.000,19
141.000,23
142.000,15
143.000,25
144.000,16
145.000,19
146.000,15
147.000,21
148.000,18
149.000,19
150.000,21
151.000,23
152.000,11
153.000,21
154.000,23
155.000,15
156.000,21
157.000,19
158.000,15
159.000,15
160.000,20
161.000,16
162.000,19
163.000,12
164.000,21
165.000,18
166.000,11
167.000,18
168.000,17
169.000,20
170.000,14
171.000,27
172.000,16
173.000,20
174.000,13
175.000,24
176.000,22
177.000,17
178.000,19
179.000,14
180.000,18
