"Time (s) Run #23","Geiger Counts (counts/sample) Run #23"
0.100,1
0.200,2
0.300,1
0.400,1
0.500,2
0.600,2
0.700,1
0.800,2
0.900,0
1.000,3
1.100,1
1.200,2
1.300,0
1.400,2
1.500,2
1.600,2
1.700,2
1.800,2
1.900,1
2.000,0
2.100,3
2.200,2
2.300,3
2.400,1
2.500,2
2.600,2
2.700,1
2.800,3
2.900,3
3.000,1
3.100,3
3.200,1
3.300,2
3.400,2
3.500,1
3.600,1
3.700,0
3.800,1
3.900,1
4.000,2
4.100,2
4.200,3
4.300,2
4.400,1
4.500,2
4.600,2
4.700,3
4.800,3
4.900,3
5.000,1
5.100,1
5.200,0
5.300,1
5.400,2
5.500,1
5.600,2
5.700,1
5.800,1
5.900,2
6.000,5
6.100,1
6.200,2
6.300,1
6.400,3
6.500,1
6.600,1
6.700,4
6.800,3
6.900,1
7.000,3
7.100,2
7.200,3
7.300,1
7.400,5
7.500,4
7.600,1
7.700,2
7.800,2
7.900,2
8.000,0
8.100,1
8.200,1
8.300,2
8.400,3
8.500,0
8.600,0
8.700,1
8.800,3
8.900,1
9.000,1
9.100,5
9.200,2
9.300,2
9.400,0
9.500,0
9.600,2
9.700,1
9.800,4
9.900,0
10.000,0
10.100,2
10.200,2
10.300,6
10.400,1
10.500,1
10.600,2
10.700,1
10.800,2
10.900,0
11.000,2
11.100,1
11.200,3
11.300,1
11.400,3
11.500,2
11.600,2
11.700,2
11.800,4
11.900,5
12.000,2
12.100,1
12.200,1
12.300,1
12.400,1
12.500,0
12.600,2
12.700,1
12.800,2
12.900,1
13.000,1
13.100,2
13.200,2
13.300,2
13.400,3
13.500,2
13.600,0
13.700,2
13.800,1
13.900,0
14.000,1
14.100,2
14.200,2
14.300,1
14.400,2
14.500,0
14.600,1
14.700,1
14.800,0
14.900,1
15.000,4
15.100,3
15.200,3
15.300,2
15.400,1
15.500,3
15.600,1
15.700,1
15.800,3
15.900,3
16.000,3
16.100,2
16.200,0
16.300,2
16.400,0
16.500,2
16.600,2
16.700,2
16.800,3
16.900,1
17.000,5
17.100,2
17.200,2
17.300,4
17.400,0
17.500,3
17.600,2
17.700,2
17.800,3
17.900,5
18.000,4
18.100,0
18.200,1
18.300,1
18.400,2
18.500,1
18.600,1
18.700,2
18.800,0
18.900,1
19.000,1
19.100,2
19.200,2
19.300,3
19.400,1
19.500,2
19.600,0
19.700,3
19.800,2
19.900,0
20.000,3
20.100,1
20.200,2
20.300,2
20.400,2
20.500,1
20.600,3
20.700,3
20.800,1
20.900,2
21.000,1
21.100,1
21.200,3
21.300,1
21.400,0
21.500,1
21.600,3
21.700,1
21.800,2
21.900,5
22.000,1
22.100,0
22.200,3
22.300,1
22.400,1
22.500,1
22.600,1
22.700,3
22.800,1
22.900,4
23.000,5
23.100,1
23.200,1
23.300,0
23.400,1
23.500,1
23.600,1
23.700,2
23.800,4
23.900,2
24.000,0
24.100,3
24.200,3
24.300,1
24.400,1
24.500,1
24.600,2
24.700,3
24.800,2
24.900,2
25.000,2
25.100,4
25.200,0
25.300,2
25.400,4
25.500,4
25.600,1
25.700,1
25.800,1
25.900,1
26.000,3
26.100,2
26.200,0
26.300,3
26.400,2
26.500,5
26.600,3
26.700,0
26.800,6
26.900,2
27.000,5
27.100,0
27.200,3
27.300,3
27.400,1
27.500,4
27.600,1
27.700,2
27.800,1
27.900,3
28.000,4
28.100,3
28.200,1
28.300,0
28.400,1
28.500,1
28.600,2
28.700,1
28.800,3
28.900,2
29.000,2
29.100,1
29.200,0
29.300,1
29.400,2
29.500,3
29.600,0
29.700,3
29.800,0
29.900,1
30.000,4
30.100,0
30.200,2
30.300,4
30.400,3
30.500,2
30.600,3
30.700,2
30.800,2
30.900,2
31.000,3
31.100,1
31.200,3
31.300,0
31.400,1
31.500,2
31.600,1
31.700,1
31.800,3
31.900,0
32.000,1
32.100,3
32.200,4
32.300,4
32.400,2
32.500,1
32.600,1
32.700,0
32.800,1
32.900,2
33.000,2
33.100,1
33.200,8
33.300,3
33.400,1
33.500,3
33.600,3
33.700,4
33.800,2
33.900,1
34.000,1
34.100,1
34.200,3
34.300,0
34.400,3
34.500,4
34.600,2
34.700,2
34.800,0
34.900,1
35.000,1
35.100,0
35.200,1
35.300,2
35.400,2
