"Time (s) Run #6","Geiger Counts (counts/sample) Run #6"
1.000,26
2.000,25
3.000,19
4.000,15
5.000,20
6.000,15
7.000,20
8.000,21
9.000,16
10.000,22
11.000,15
12.000,17
13.000,14
14.000,19
15.000,17
16.000,18
17.000,17
18.000,18
19.000,21
20.000,27
21.000,16
22.000,18
23.000,22
24.000,18
25.000,15
26.000,26
27.000,20
28.000,15
29.000,19
30.000,17
31.000,16
32.000,15
33.000,13
34.000,13
35.000,20
36.000,16
37.000,17
38.000,19
39.000,27
40.000,16
41.000,26
42.000,27
43.000,19
44.000,14
45.000,18
46.000,31
47.000,11
48.000,24
49.000,20
50.000,15
51.000,17
52.000,16
53.000,18
54.000,16
55.000,10
56.000,22
57.000,20
58.000,25
59.000,23
60.000,16
