"Time (s) Run #3","Geiger Counts (counts/sample) Run #3"
1.000,24
2.000,18
3.000,13
4.000,25
5.000,24
6.000,19
7.000,15
8.000,20
9.000,12
10.000,18
11.000,17
12.000,15
13.000,12
14.000,16
15.000,18
16.000,20
17.000,14
18.000,16
19.000,18
20.000,13
21.000,17
22.000,17
23.000,20
24.000,13
25.000,16
26.000,24
27.000,21
28.000,17
29.000,18
30.000,25
31.000,19
32.000,17
33.000,14
34.000,20
35.000,16
36.000,17
37.000,15
38.000,21
39.000,16
40.000,14
41.000,23
42.000,9
43.000,12
44.000,17
45.000,14
46.000,14
47.000,19
48.000,12
49.000,22
50.000,18
51.000,13
52.000,17
53.000,18
54.000,14
55.000,10
56.000,13
57.000,21
58.000,17
59.000,14
60.000,27
61.000,15
62.000,21
63.000,23
64.000,17
65.000,18
66.000,15
67.000,17
68.000,14
69.000,17
70.000,12
71.000,15
72.000,24
73.000,13
74.000,17
75.000,15
76.000,28
77.000,24
78.000,16
79.000,12
80.000,10
81.000,21
82.000,13
83.000,20
84.000,17
85.000,20
86.000,20
87.000,18
88.000,17
89.000,21
90.000,22
91.000,18
92.000,18
93.000,14
94.000,22
95.000,19
96.000,21
97.000,22
98.000,20
99.000,29
100.000,21
101.000,16
102.000,13
103.000,29
104.000,17
105.000,15
106.000,16
107.000,16
108.000,26
109.000,20
110.000,18
111.000,24
112.000,20
113.000,26
114.000,22
115.000,21
116.000,15
117.000,24
118.000,19
119.000,17
120.000,17
121.000,19
122.000,18
123.000,20
124.000,24
125.000,23
126.000,10
127.000,19
128.000,20
129.000,15
130.000,19
131.000,17
132.000,21
133.000,15
134.000,21
135.000,13
136.000,17
137.000,22
138.000,15
139.000,23
140.000,22
141.000,20
142.000,16
143.000,20
144.000,18
145.000,22
146.000,20
147.000,13
148.000,17
149.000,18
150.000,21
151.000,12
152.000,22
153.000,16
154.000,18
155.000,16
156.000,21
157.000,20
158.000,18
159.000,15
160.000,18
161.000,20
162.000,12
163.000,14
164.000,19
165.000,13
166.000,14
167.000,19
168.000,17
169.000,22
170.000,19
171.000,16
172.000,22
173.000,11
174.000,14
175.000,28
176.000,22
177.000,19
178.000,18
179.000,15
180.000,15
