"Time (s) Run #2","Geiger Counts (counts/sample) Run #2"
1.000,15
2.000,17
3.000,13
4.000,25
5.000,17
6.000,22
7.000,18
8.000,19
9.000,21
10.000,23
11.000,21
12.000,16
13.000,26
14.000,16
15.000,19
16.000,15
17.000,20
18.000,9
19.000,21
20.000,20
21.000,17
22.000,17
23.000,19
24.000,16
25.000,23
26.000,24
27.000,21
28.000,18
29.000,22
30.000,23
31.000,19
32.000,18
33.000,20
34.000,13
35.000,14
36.000,17
37.000,24
38.000,19
39.000,19
40.000,27
41.000,27
42.000,26
43.000,19
44.000,21
45.000,6
46.000,18
47.000,23
48.000,10
49.000,16
50.000,16
51.000,21
52.000,21
53.000,18
54.000,19
55.000,19
56.000,21
57.000,20
58.000,22
59.000,12
60.000,22
61.000,14
62.000,18
63.000,23
64.000,25
65.000,26
66.000,17
67.000,19
68.000,19
69.000,20
70.000,16
71.000,25
72.000,18
73.000,10
74.000,28
75.000,15
76.000,16
77.000,21
78.000,22
79.000,14
80.000,22
81.000,20
82.000,15
83.000,21
84.000,26
85.000,17
86.000,20
87.000,20
88.000,13
89.000,20
90.000,23
91.000,16
92.000,17
93.000,17
94.000,22
95.000,28
96.000,17
97.000,29
98.000,25
99.000,25
100.000,19
101.000,11
102.000,23
103.000,20
104.000,23
105.000,16
106.000,12
107.000,26
108.000,23
109.000,12
110.000,10
111.000,19
112.000,15
113.000,21
114.000,18
115.000,18
116.000,20
117.000,17
118.000,17
119.000,17
120.000,16
121.000,18
122.000,18
123.000,11
124.000,22
125.000,17
126.000,22
127.000,19
128.000,19
129.000,15
130.000,15
131.000,15
132.000,18
133.000,16
134.000,17
135.000,32
136.000,19
137.000,12
138.000,12
139.000,15
140.000,18
141.000,17
142.000,20
143.000,20
144.000,17
145.000,24
146.000,17
147.000,16
148.000,17
149.000,16
150.000,15
151.000,23
152.000,14
153.000,15
154.000,16
155.000,21
156.000,21
157.000,19
158.000,23
159.000,22
160.000,22
161.000,14
162.000,16
163.000,13
164.000,20
165.000,16
166.000,7
167.000,14
168.000,13
169.000,15
170.000,22
171.000,16
172.000,27
173.000,13
174.000,18
175.000,14
176.000,19
177.000,19
178.000,19
179.000,21
180.000,22
181.000,23
182.000,22
183.000,27
184.000,20
185.000,16
186.000,15
187.000,15
188.000,18
189.000,24
190.000,20
191.000,19
192.000,11
193.000,24
194.000,22
195.000,19
196.000,22
197.000,16
198.000,23
199.000,15
200.000,18
201.000,22
202.000,29
203.000,14
204.000,19
205.000,15
206.000,22
207.000,11
208.000,20
209.000,19
210.000,16
211.000,17
212.000,23
213.000,19
214.000,15
215.000,19
216.000,14
217.000,21
218.000,12
219.000,16
220.000,20
221.000,21
222.000,21
223.000,14
224.000,16
225.000,12
226.000,16
227.000,22
228.000,21
229.000,12
230.000,18
231.000,14
232.000,18
233.000,19
234.000,24
235.000,25
236.000,22
237.000,23
238.000,16
239.000,24
240.000,13
241.000,21
242.000,13
243.000,23
244.000,19
245.000,19
246.000,19
247.000,21
248.000,21
249.000,15
250.000,21
251.000,17
252.000,19
253.000,20
254.000,12
255.000,19
256.000,19
257.000,22
258.000,22
259.000,20
260.000,14
261.000,23
262.000,24
263.000,23
264.000,22
265.000,15
266.000,18
267.000,20
268.000,14
269.000,19
270.000,19
271.000,14
272.000,21
273.000,14
274.000,26
275.000,14
276.000,15
277.000,17
278.000,19
279.000,21
280.000,22
281.000,10
282.000,17
283.000,12
284.000,12
285.000,19
286.000,20
287.000,13
288.000,17
289.000,27
290.000,14
291.000,25
292.000,15
293.000,16
294.000,19
295.000,25
296.000,15
297.000,24
298.000,21
299.000,23
300.000,16
301.000,26
302.000,23
303.000,20
304.000,19
305.000,8
306.000,18
307.000,16
308.000,22
309.000,16
310.000,21
311.000,18
312.000,15
313.000,10
314.000,14
315.000,14
316.000,19
317.000,17
318.000,15
319.000,20
320.000,13
321.000,18
